claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
Strong fit,Nutanix Cloud Manager Software Licenses and M&S for DND,2026-06-23T14:00:00,2026-06-11,Shared Services Canada,*N7030,,*GD,,,"keywords: cloud, licensing, network, software, software licence, software license"
Strong fit,WEB ARCHITECT,2026-06-23T14:00:00,2026-06-09,Office of Infrastructure of Canada (INFC),,"*Information technology consultation services
*Information technology IT management services
*Information Technology Service Delivery",*SRV,procurement-approvisionnement@infc.gc.ca,,keywords: application
Strong fit,Quest Toad for PSPC,2026-06-25T14:00:00,2026-06-11,Shared Services Canada,*N7030,,*GD,,,keywords: software
Strong fit,26-0263 - Audio Visual services for a CRTC Hybrid Public Hearing,2026-06-26T14:00:00,2026-06-10,Canadian Radio-Television and Telecommunications Commission (CRTC),,"*Audio visual equipment accessories
*Audio visual services",*SRV,Gan-Ochir.battumur@crtc.gc.ca,,"keywords: telecommunication, website"
Strong fit,Shared Services Canada - Red Hat Minor Contract,2026-06-29T14:00:00,2026-06-16,Shared Services Canada,*N7030,,*GD,,,"keywords: licensing, software"
Strong fit,Dental laboratory services,2026-06-29T14:00:00,2026-06-09,Correctional Service of Canada (CSC),,*Dental services,*SRV,nassima.aliouat@csc-scc.gc.ca,,"keywords: database, website"
Strong fit,SIMS Nurses Training,2026-07-02T14:00:00,2026-06-10,Correctional Service of Canada (CSC),,"*Medical training and education supplies
*Aids for medical training
*Medical vocational training services
*Health assistance vocational training services
*Re training or refreshing training services
*Training planning, facilitation and delivery services",*SRV,gisele.gautreau@csc-scc.gc.ca,,keywords: website
Strong fit,Dental Hygienist Services – Ontario Region,2026-07-06T14:00:00,2026-06-12,Correctional Service of Canada (CSC),,*Dental services,*SRV,stephanie.gigoux@csc-scc.gc.ca,,keywords: website
Strong fit,Conducted Energy Weapon (CEW) Testing,2026-07-07T14:00:00,2026-06-12,Royal Canadian Mounted Police (RCMP),,*Production statistics collection or analysis services,*SRV,Adam.Harrington@rcmp-grc.gc.ca,,keywords: website
Strong fit,Aftercare Psychological Services – Greater Ontario and Nunavut District in the Ontario Region,2026-07-08T14:00:00,2026-06-18,Correctional Service of Canada (CSC),,*Healthcare provider specialist services,*SRV,ashley.claessen-sarault@csc-scc.gc.ca,,keywords: website
Strong fit,Digital Marketing & Competitive Intelligence Platform,2026-07-10T11:00:00,2026-06-22,Business Development Bank of Canada,,,"*GD
*SRV",Marianne.villers@bdc.ca,https://www.merx.com/public/solicitations/4005406601/abstract?language=EN,"keywords: analytics, digital, platform"
Strong fit,Speech Language Pathology,2026-07-14T14:00:00,2026-06-22,Correctional Service of Canada (CSC),,*Speech or language therapy,*SRV,gisele.gautreau@csc-scc.gc.ca,,keywords: website
